所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
模式匹配 方法 和 装置 。 ||| pattern matching method and apparatus .
另一方面 在 请求 业务流 管理 的 同时 就 进行 缓冲 能力 的 协商 , 节约 了 操作 流程 。 ||| on the other hand at the request of a service flow management is performed at the same time , the buffer capacity of the negotiation savings in operating scheme .
本发明 涉及 无线通信 技术 领域 , 尤其 涉及 一种 邻 区 切换 的 方法 及 设备 。 ||| the present invention relates to the field of wireless communication technology , and more particularly relates to a neighbor cell handover method and apparatus .
该 方法 包括 : 系统 侧 接收 到 来自 UE 的 视频 保存 命令 , 其中 视频 保存 命令 用于 请求 系统 侧 保存 UE 在 视频 通话 中 的 视频 ; 系统 侧根 据 视频 保存 命令 , 保存 UE 在 视频 通话 中 的 视频 。 ||| the method includes : a system side of the video is received from the ue , wherein the video command of saving for saving command stored in the ue requests the system side of the video in the video call ; system video command of saving the lateral root data stored in the ue , the video in the video call .
该 方法 包括 : 第一 系统 定期 地 或者 接收 到 指令 后 , 将 指定 的 信息 发送给 第二 系统 ; 所述 第二 系统 接收 到 该 信息 后 进行 存储 。 ||| the method comprising : a first system periodically or upon receipt of the instructions , the specified information to the second system ; said second system receiving the information to be stored .
一种 扩展 载波 激活 或 去 活 的 方法 和 基站 , 属于 无线通信 领域 。 ||| a spread carrier are activated or deactivated , belonging to the method and base station of the wireless communication industry .
包括 : 将 帧 数据 由 管理 单元 AU - 3 帧 格式 转换成 支路 单元 TU - 3 帧 格式 ; 将 TU - 3 帧 格式 数据 , 映射 到 虚 容器 VC4 中 , 得到 VC4 帧 格式 数据 ; 对 所述 VC4 帧 格式 数据 进行 仿真 。 ||| include : the frame data is composed of a management unit au-3 frame format to the branch unit tu-3 frame format ; the tu-3 frame format , the data is mapped to a virtual container vc4 , resulting in a vc4 frame format data ; the vc4 frame format data is simulated .
本发明 实施 例 还 进一步 公开 了 一种 在 共享 网络 中 实现 组 播 的 系统 和 装置 。 ||| embodiments of the present invention further discloses a implemented in a shared network multicast of systems and devices .
采用 本发明 对 如果 UE 保存 的 信息 缓存 区 已 满 始终 没有 收到 网络 侧 发送 的 ANR 请求 通知 , 后续 是否 需要 测量 或 如何 进行 测量 的 情况 提供 了 具体 的 处理 方法 。 ||| if the ue using the present invention on information stored in a buffer is full always has not received a network side sends the anr request notification is required , the subsequent measurement or how to make a measurement of case provides particular processing methods .
移动 终端 以及 基于 移动 终端 实现 远程 会议 的 方法 及 移动 终端 ||| the mobile terminal and the mobile terminal based on the method of enabling remote conferencing and mobile terminal
本发明 公开 了 一种 视频会议 的 控制 方法 和 会议 终端 。 ||| the present invention discloses a method of controlling a video conference and a conference terminal .
采用 本发明 能够 解决 如果 UE 测量 较长时间 一直 没有 符合条件 的 信息 , 后续 是否 需要 测量 或 如何 进行 测量 , 都 没有 具体 的 处理 方法 的 问题 , 避免 UE 一直 处于 测量 状态 , 达到 了 节约资源 的 效果 。 ||| using the present invention can overcome if the ue measurements have not eligible for longer periods of time , information of whether the subsequent need to be measured or how the measurements are performed , no specific treatment method , avoiding the problem of the ue in the measurement state until it reaches the conserve resources effect .
本发明 实现 了 自动化 的 业务 分流 效果 , 为 运营商 快速 安全 的 解决 节日 流量 突增 问题 , 提供 了 廉价 的 以及 强有力 的 保障 。 ||| the present invention achieves the automated service shunting effect , the safety for the operator of the fast ramp- up problem solving flow holiday , provides an inexpensive and robust security .
本发明 对 以太网 OAM 协议 进行 了 有效 的 补充 , 提高 了 以太 运营 网络 的 可靠性 和 可维护性 , 保证 了 中间 节点 不管 是 在 二层 交换 环境 还是 在 三层 交换 环境 , 都 不 丢 包 。 ||| the present invention is carried out on the ethernet oam protocol for the efficient supplemental , improves the reliability of the ethernet carrier network and maintainability , ensures that the intermediate node whether on the two switched environment , or in a three- layer switched environment does not drop packets .
一种 无线网络 汇聚 传输 的 方法 、 系统 及 设备 , 应用 于 通信 技术 。 ||| a wireless network aggregate transmission methods , systems , and apparatus applied to communication techniques .
采用 本发明 能够 平均 接收 端的 传输 信号 质量 。 ||| the present invention is capable of using the average transmission signal quality at the receiving end .
客户端 通过 通讯 服务器 分别 与 查询 服务器 及 全局 服务器 相连 , 通讯 服务器 通过 查询 服务器 与 全局 服务器 相连 。 ||| the client , respectively , via the communications server with the query server and the global server connected by a communication server query server connected to the global server .
本发明 公开 一种 传输流 平滑 拼接 的 方法 和 系统 , 其中 , 所述 方法 包括 : 在 对 传输流 插入 或 截取 时 , 在 拼接 点 处 插入 携带 时钟 同步 基准 和 时 戳 的 一个 或 多个 传输 包 , 或者 , 在 拼接 点 处 第一个 后续 的 传输 包 中 插入 时钟 同步 基准 。 ||| the present invention discloses a transport stream , a method and system for smooth splicing , wherein , said method comprising : inserting the transport stream or , taken at the splice point when inserted into the carrying a clock sync reference and a timestamp of one or a plurality of transport packets , or , at the splice point in the transport packets of the first subsequent insertion of the reference clock synchronization .
本发明 避免 了 Doherty 功放 中 峰值 支路 提前 导 通 的 缺点 , 降低 了 峰值 放大器 的 功耗 , 提高 了 整个 Doherty 功放 的 批量 效率 。 ||| the present invention avoids the doherty amplifier peak branch is turned on in advance the disadvantage of reducing the power consumption of the peak amplifier , increasing the overall efficiency of the batch doherty amplifier .
本发明 涉及 一种 可变 速率 信号 的 处理 方法 、 装置 及 系统 。 ||| the invention relates to a variable rate signal processing methods , devices and systems .
信号 传输 杆 穿过 盖板 后 再 穿过 电路板 的 过孔 。 ||| signal transmission rod through the cover plate and then through the vias of the circuit board .
本发明 还 提供 一种 设置 有 上述 人造 微结构 的 超 材料 。 ||| the present invention also provides a is provided with the above artificial microstructure of superabsorbent material .
本 方法 科学合理 , 不仅 准确 的 计算 了 汽车 行驶 里程 , 而且 还 实现 了 在 远程 监控 系统 平台 对 汽车 行驶 里程 的 实时 远程 监控 。 ||| the present method 科学合理 , not only accurate calculations of the motor vehicle mileage , but is also implemented in the remote monitoring system for automotive platform real- time remote monitoring of the mileage .
本发明 公开 了 一种 多 入 多出 ( MIMO ) 天线 , 包括 : 两个 以上 天线 、 馈电 系统 、 匹配 电路 、 以及 印刷 电路板 ( PCB ) , 该 天线 还 包括 : 金属 部件 ; 所述 金属 部件 悬空 放置 于 相邻 的 两个 所述 天线 之间 或 外侧 ; 所述 金属 部件 , 用于 作为 所述 天线 的 反射器 或 引向 器 。 ||| the present invention discloses a multiple input multiple output ( mimo ) antenna , comprising : more than two antenna , the feed system , a matching circuit , and a printed circuit board ( pcb ) , the antenna further comprises : a metal member ; said metal member is a dangling placed in between adjacent two of said antenna or the outer side ; the metal component for the antenna as a reflector or a director .
CMFTS 通过 交换机 与 IP 骨干网 连接 , CMFTS 与 CMF 之间 有 混合器 、 光 发送器 、 光电 转换 节点 、 上 变频器 、 光 接收器 以及 上行 分配器 。 ||| cmfts is connected via a switch to an ip backbone network with cmf cmfts between , a mixer , an optical transmitter , a photoelectric conversion node , an up- converter , an optical receiver , and upstream of the dispenser .
应用 本发明 能够 节省 移动 通信 流量 并 提高 信息 传输 成功率 。 ||| application of the present invention is able to conserve mobile communication traffic information and to enhance the transmission success rate .
本发明 涉及 通信 技术 领域 , 公开 了 呼叫 方法 、 装置 及 通信 系统 。 ||| the present invention relates to the field of the communication technology , there is disclosed a method , device , and call communication system .
本发明 公开 了 一种 数据 下载 的 方法 、 系统 和 终端 。 ||| the present invention discloses a data download the method , system and terminal .
本发明 还 相应 地 公开 了 一种 解 速率 匹配 的 解 交织 系统 。 ||| the present invention accordingly also discloses a de- rate matching deinterleaving system .
本发明 实施 例 中 , 可以 由 用户 设置 允许 LIPA 连接 或者 禁止 LIPA 连接 , 并 由 网络 侧根 据 用户 的 设置 情况 对 发起 LIPA 连接 建立 和 LIPA 连接 发生 切换 的 过程 进行 相应 处理 , 从而 提高 了 用户 的 使用 感受 。 ||| in the embodiment of the present invention , may be set by the user is allowed or prohibited lipa lipa connected by a network connection , and lateral root data for user settings can be initiated lipa lipa connection establishment and handover occurs during connection of the corresponding processing is carried out , thereby increasing the use of the user experience .
根据 本发明 实施 例 提供 的 方法 和 管理 装置 , 通过 利用 进行 集中 流量 管理 的 管理 装置 , 使得 原本 独立 进行 流量 管理 的 单板 中 的 流量 能够 得到 统一 、 集中 的 调度 , 从而 能够 统一 有效 地 管理 分布 在 不同 单板 上 可能 彼此 有 关联 的 数据流 , 以 满足 流量 管理 的 需求 。 ||| according to embodiments of the present invention provides a method and apparatus for managing traffic management by using a centralized management means such that the script is performed independently of the traffic management unit plate to give a flow rate can be uniform , centralized scheduling , thereby efficiently managing can be uniformly distributed at different each other on one board may be associated with a data stream , in order to meet the demands of the traffic management .
本发明 提供 一种 资源 调度 方法 、 用户 设备 及 基站 。 ||| the present invention provides a resource scheduling method , a user equipment and a base station .
本发明 的 氢 燃料电池 提高 了 发电 效率 、 降低 了 成本 并 提高 了 寿命 。 ||| the hydrogen fuel cell of the present invention increases the efficiency of power generation , reduces cost , and increased the life .
其中 , 该 方法 包括 : 将 一个 或 多个 节点 上 的 一个 或 多个 聚合 端口 聚合 为 一个 DLAG ; 通过 该 DLAG 实现 分布式 的 弹性 网络接口 。 ||| wherein , the method comprising : providing one or more nodes of the one or more polymerization into a port trunked dlag dlag ; implementing a distributed by the elasticity of the network interface .
通过 PCHCH 指示 PDCCH , 减少 或 避免 了 LTE 局域网 中 的 终端 对 PDCCH 的 盲 检测 过程 , 实现 了 在 LTE 的 室内 热点 覆盖 场景 下 , 进行 下行 控制 信息 的 发送 、 接收 和 监测 , 进而 实现 低 开销 、 快速 率 和 高可靠性 的 传输 。 ||| by pchch indicates pdcch , reducing or avoiding the lte local area network to a terminal in a blind detection process on the pdcch is achieved for indoor hot spot of the lte coverage scenario , downlink control information for a transmitting , receiving and monitoring , thereby achieving a low overhead , fast rate and high reliability of transmission .
本发明 公开 了 一种 防止 移动 终端 锁 网 被 非法 破解 的 方法 , 该 方法 包括 : 需要 进行 解锁 时 , 移动 终端 在 后台 向 服务器 发 起解 锁 请求 ; 服务器 收到 请求 后 , 依据 解锁 信息 判断 是否 允许 移动 终端 解锁 , 根据 判断 结果 进行 相应 的 解锁 操作 或 不解 锁 操作 。 ||| the present invention discloses a mobile terminal is prevented from being illegally breaking the locking mesh is a method , the method comprising : upon being unlocked may need to be performed in the background , the mobile terminal to the server sends a lock request 起解 ; the server receives the request , after unlocking information according to the judgment of whether or not to allow the mobile terminal according to the determination result is unlocked , the unlocking or corresponding 不解 lock operation .
本发明 实施 例 提供 了 一种 标签 分配 方法 及 装置 , 属于 通信 领域 。 ||| embodiments of the present invention there is provided a tag dispensing method and device belongs to the field of communications .
所述 设备 包括 : 构建 设置 模块 、 确定 模块 和 定位 模块 。 所述 系统 包括 : 监控 服务器 和 用户 终端 。 本发明 能够 减少 运营 成本 。 ||| the apparatus comprises : constructing a setup module , a determination module and the positioning module . the system comprises : a monitoring server and the user terminal . the present invention can reduce the cost of operation .
本发明 实施 例 公开 了 一种 个人 网 的 合并 方法 及 装置 和 个人 网 的 拆分 方法 及 装置 的 方案 。 ||| embodiments of the present invention discloses a personal web combining method and apparatus and a personal web has a resolution method and apparatus of the scheme .
本发明 适用 于 列车 的 运行 。 ||| the invention is applicable to the operation of the train .
通过 本发明 , 同时 减低 TDD 噪声 干扰 的 时候 又 需要 降低 FM 干扰 , 提高 了 用户 体验 。 ||| by the present invention , the tdd simultaneously to reduce the noise and interference when fm interference reduction is required , in turn , enhances the user experience .
其 具有 质量 轻 、 厚度 薄 且 电磁 参数 易于 调节 的 优点 。 ||| it has a low mass , thin thickness and electromagnetic parameter can be readily adjusted advantages .
本发明 实现 了 实时 动态 配置 ONU 的 上行 FEC 功能 , 可以 最大 限度 提高 了 上行 带宽 利用率 。 ||| the present invention achieves the real dynamic configuration of the onu 's upstream fec function , it is possible to increase the maximum upstream bandwidth utilization .
通过 上述 方法 和 系统 , 使得 频谱 规划 具有 可 配置 性 , 并 引入 了 随机 接入 频谱 , 并且 兼顾 了 负载 均衡 和 用户 公平性 , 提升 了 小区 边缘 吞吐量 , 特别 是 能够 极大 的 提升 吞吐量 排名 靠 后 的 用户 的 吞吐量 。 ||| by the above described method and system , so that the spectrum plan has configurability , random access and introduces the frequency spectrum , and a unique combination of load balancing and user fairness , lifting the cell edge throughput , and in particular can also greatly raised against throughput of the user after the ranking of the throughput .
本发明 还 公开 了 相应 系统 。 ||| the present invention also discloses that the corresponding system .
包括 : 确定 检测 符号 , 以及 检测 符号 与 控制 信息 调制 星座 点 ; 根据 检测 符号 , 以及 检测 符号 与 控制 信息 调制 星座 点 判断 是否 承载 了 控制 信息 。 ||| the detected symbols comprises : determining that the detected symbols , as well as with the control information modulation constellation points ; according to the detected symbols , and detects the symbols with control information modulation constellation point judges whether or not the carries the control information .
本发明 公开 了 一种 多用户 多 输入 多 输出 的 调度 方法 , 该 方法 包括 : 对 小区 内 的 用户 按照 其 频偏 进行 分组 , 使得 每组 内 所有 用户 的 频偏 值 满足 预设 条件 ; 以及 对 用户 进行 配对 , 使得 同一 用户 对 中 的 用户 属于 同一 分组 。 ||| the present invention discloses a multiple input multiple output of multi- user scheduling method , the method comprising : subjecting a user within a cell are grouped according to their frequency offset , such that each set of all users within the frequency deviation value satisfies the predetermined condition ; and for the user are paired together , such that the users in the same user belonging to the same packet .
无线 基站 通过 有线 终端设备 与 有线 网络连接 , 并 通过 有线 网络连接 到 无线网络 的 核心网 。 ||| the radio base station via a wired terminal device and a wired network , and a wireless network through a wired network is connected to the core network .
本发明 公开 了 一种 控制 信令 传输 资源 位置 的 通知 方法 及 一种 终端 。 ||| the present invention discloses a transmission resource control signalling notification method and a location of the terminal .
该 方法 包括 : 接收端 根据 信息 类型 和 级别 属性 建立 笛卡尔 空间 ; 为 笛卡尔 空间 的 每 一组 分组 值 设置 对应 的 至少 一个 提示 方式 ; 接收 到 新 信息 时 , 根据 所述 信息 类型 和 级别 属性 获取 对应 分组 下 的 提示 方式 进行 该 新 信息 的 提示 。 ||| the method comprises : receiving end according to the information type and level attribute establishes a cartesian space ; is a cartesian space values are set for each set of packets corresponding to at least one of alerting pattern ; receiving the new information , in accordance with said information acquisition attribute types and levels of the corresponding packet prompt manner under the new information prompt .
本发明 公开 了 一种 队列 调度 策略 的 切换 方法 及 装置 。 ||| the present invention discloses a queuing scheduling policy of the handover method and apparatus .
由于 能够 将 上行 循环 移位 跳 频 配置 发送给 用户 设备 , 从而 可以 为 用户 设备 配置 上行 循环 移位 跳 频 。 ||| since the uplink can be cyclically shifted frequency hopping is configured so that it can be sent to the user equipment is user equipment configuration upstream cyclic shift frequency hopping .
通过 本发明 , 只 需要 移动 终端 和 服务 终端 做 相适应 的 软件 升级 就 可以 实现 所述 的 LBS 相关 业务 , 具有 较 好 的 通用性 , 且 可以 减少 类似 业务 的 成本 , 进一步 推广 移动 终端 LBS 业务 的 使用 , 提高 移动 终端 的 可以 用 性 和 用户 体验 。 ||| by the present invention , the mobile terminal only needs to be compatible with the service terminator for the upgrading of software can be achieved , the lbs service associated with good versatility , and it is possible to reduce the cost of similar services , further generalized lbs service usage of the mobile terminal , the mobile terminal may be used to increase the accessibility and user experience .
根据 本发明 可以 实现 联系人 信息 的 自动更新 。 ||| according to the present invention can be implemented to automatically update of contact information .
本发明 方法 和 系统 , 能够 避免 终端 无法 正常 使用 原本 可以 使用 的 业务 。 ||| the present methods and systems , it is possible to avoid the terminal fails to normal use of the service script may be used .
其中 , 一种 数据 卡连 网 的 方法 , 包括 : 数据 卡连 接到 主机 上 后 , 利用 以太网 接口协议 将 所述 数据 卡 映射 成 上网 设备 ; 所述 数据 卡 获取 拨号 信息 , 利用 所述 拨号 信息 进行 拨号 以 请求 连接 到 网络 ; 所述 上网 设备 进行 主机 与 网络 间 的 通信 。 ||| wherein a data card is connected network , a method comprising : data on the card to the host after using the ethernet interface protocol , the data card to be mapped to the network- enabled devices ; said data acquisition card dialled information using the dialled information , to request for dial- up connection to network ; the network- enabled devices for communication between the host and the network .
该 方法 为 : 本发明 实施 例 中 , 网络 侧 针对 不同 干扰源 , 为 用户 设备 配置 了 多个 干扰 测量 RE 集合 , 并 指示 用户 设备 根据 实际 应用环境 , 选择 相适应 的 干扰 测量 RE 集合 进行 干扰 测量 。 ||| the method is : embodiment of the present invention , the network side for different sources of interference , the user device is configured with multiple interference measurement re set , and indicates that the user equipment is selected according to the actual application environment , the interference measurement re set adapted for interference measurements .
本发明 公开 了 一种 手机 及其 数据处理 方法 。 ||| the present invention discloses a handset and its data processing method .
所述 主 功放 装置 用于 采用 高 电子 迁移率 晶体管 ( HEMT ) 器件 进行 信号 功率放大 。 ||| the main power amplifier means for employing a high electron mobility transistor ( hemt ) device for signal power amplification .
预先 在 内置 AP 中 配置 信道 占用 周期 , 每 一 信道 占用 周期 包括 第一 周期 , 第一 周期 包括 AP 占用 信道 期 。 ||| configured in advance in the built- in ap channel occupation period , each channel occupancy period comprises a first period , the first period includes the ap occupy the channel phase .
一种 日志 记录 管理 方法 , 包括 : 周期性 检测 缓存 , 检测 到 缓存 中 有 日志 记录 时 , 上报 日志 记录 ; 以及 , 当 缓存 中 的 日志 记录 数目 大于 等于 已 上报 日志 记录 条数 与 已 上报 日志 记录 次数 的 比值 时 , 上报 所述 缓存 中 的 日志 记录 。 ||| a log record management method , comprising : periodically detecting the cache , the cache is detected when there is a log record , to report the log record ; and , when a cache of log records is equal to the number is greater than the log record number has been reported to have to report the log record number is the ratio of the report log entries in the cache .
本发明 公开 了 一种 多媒体 消息 的 拦截 系统 及 方法 。 ||| the present invention discloses a multimedia message of interception system and method .
本发明 的 实施 例 基于 IP 的 可视化 语音 邮件 实现 方法 和 系统 通过 Socket 连接 实现 VVM 业务 , 使得 VVM 业务 可 在 基于 IP 的 终端设备 上 实现 。 ||| embodiments of the present invention the visualization of the ip- based voice mail implemented method and system implemented by the socket connection , so that the vvm vvm services based on ip traffic may be implemented on a terminal device .
本发明 能够 降低 各 天线 单元 之间 的 相关性 , 保证 阵列 天线 具 较 好 的 全向 辐射 特性 , 以及 便于 终端设备 小型化 的 设计 。 ||| the present invention is able to reduce a correlation between the individual antenna elements , ensuring that the array antenna having better omnidirectional radiation characteristics , as well as facilitate the design of the terminal equipment miniaturization .
本发明 实施 例 公开 了 一种 基于 北向 接口 的 业务 实现 方法 及 装置 , 用于 现在 网管 系统 通过 北向 接口 对光 数据 单元 ODU0 速率 业务 进行 管理 。 ||| embodiments of the present invention discloses a north bound interface based on the service implemented method and apparatus for network management system now optical data units by the north bound interface odu0 rate traffic are managed .
本发明 涉及 一种 超 材料 射频 天线 及其 制备 方法 。 ||| the present invention relates to a superconducting material and methods of making the rf antenna .
本发明 公开 了 一种 控制 信息 激活 检测 的 方法 及 设备 。 ||| the present invention discloses a method of detecting control information to activate and equipment .
本发明 在 创建 的 视频 播放 窗口 中 播放 获取 到 的 视频 , 使得 用户 可以 在 使用 即时 通信 系统 客户 端的 同时 播放 视频 , 实现 了 视频 播放 和 即时 通信 客户 端的 一体化 , 提高 了 用户 体验 。 ||| in the present invention play window created video is playing in the acquired video , so that the user can use the instant communications client 's while playing the video system , implementing a video playback and instant communications client integrated , to improve the user experience .
本发明 公开 了 一种 视频 监控 系统 和 方法 。 ||| the present invention discloses a video surveillance system and method .
本发明 能够 将 源 网络 标识 翻译成 目的 网络 标识 代理 , 使 源 网络 标识 可以 复用 。 ||| the invention is capable of identifying the source network and destination network identity agent is translated into the source network identifier can be multiplexed .
所述 用户 账号 鉴 权 模块 用于 根据 所述 用户 账号 管理 表 , 对 发送 方 的 相关 用户 账号 信息 进行 鉴 权 , 对 符合 拦截 条件 的 所述 发送 方 的 相关 用户 账号 进行 拦截 。 ||| the user account for the authentication module based on the user account management table , the sender of the relevant user account information to authenticate the conforming to intercept the condition of the user account associated with the sender is intercepted .
采用 本发明 技术 方案 , 提高 了 E1 的 时隙 资源 利用率 , 从而 降低 E1 传输 通信 业务 信令 时 发生 异常 的 几率 。 ||| using the techniques of the present invention improves the e1 protocol , resource utilization of the time slots , thereby reducing the e1 transmission of communication traffic signaling is the probability of occurrence of an abnormality .
本发明 图像 校正 系数 的 获取 方法 、 非 均匀 图像 校正 方法 及 系统 , 与 常规 的 现有 技术 相比 , 不 需要 调 零 挡 片 。 ||| the present invention a method for acquisition of image correction coefficients , non- uniform image correction method and system , compared to conventional prior art , do not need to be zeroed flap .
用户 边缘 设备 的 第一 端口 与 交换 设备 的 第三 端口 相连 , 用户 边缘 设备 的 第二 端口 与 交换 设备 的 第四 端口 相连 。 ||| the customer edge devices of the first port and the third port of the switching apparatus , the customer edge devices connected to the second port and the fourth port of the switching device is connected .
本发明 实施 例 提供 一种 热点 小区 覆盖 的 数据传输 方法 , 包括 : ||| embodiments of the present invention provides a hot spot cell coverage of a data transmission method , comprising :
本发明 可以 实现 用户 采用 多种 接入 方式 均 可以 正常 接入 身份 标识 与 位置 标识 分离 的 网络 , 并且 每种 接入 方式 可以 独立 发起 业务 , 业务流 之间 不会 相互 冲突 。 ||| the present invention may be implemented using a variety of user access way may each have a normal access identity with the location identity separate networks , and each may be independently access manner between the originating service , traffic stream does not conflict with each other .
本发明 实施 例 涉及 分布式 天线 系统 的 监测 系统 、 ||| embodiments of the present invention relates to a distributed antenna system monitoring system .
本发明 提供 一种 具有 USB 接口 的 电子设备 及其 USB 通信 启动 方法 , 以 解决 现有 技术 中 存在 的 充电器 与 USB 通信 共用 一个 接口 容易 造成 手机 终端设备 损坏 的 问题 。 ||| the present invention provides an electronic device having a usb interface and a usb communication initiation process found in the prior art to solve a charger with a usb communication sharing a common interface is likely to cause damage to the handset terminal equipment problems .
本发明 方法 和 多 系统 无线 接入网 可以 在 不 需要 多 系统核心 网 参与 的 情况 下 , 获得 目的 系统 密钥 。 ||| a system and method according to the invention may be in the wireless access network does not require multiple system core network involved in case , the resulting destination system key .
该 方法 能够 根据 乱序 状况 有效 地 更新 乱序 深度 , 在 有效 确保 当前 压缩 策略 的 健壮性 时 , 还 能 有效 兼顾 压缩 效率 。 ||| according to this method can effectively updates out- of- order out- of- order condition in depth , is effective to ensure that the robustness of the present compression strategy , it also is effective to compromise the efficiency of compression .
能够 实时 监控 邮箱 账户 的 安全性 , 保护 邮箱 账户 安全 。 ||| capable of real time monitoring of the mailbox account of safety , the protection of the mailbox account of safety .
实现 了 无线网络 的 汇聚 传输 。 ||| convergence is achieved for the transmission of a wireless network .
本发明 公开 了 一种 移动 终端 上 展现 业务 信息 的 方法 和 装置 。 ||| the present invention discloses a mobile terminal is presented on a method and apparatus for traffic information .
本发明 提供 一种 业务 负载 分配 方法 、 装置 和 通信 系统 。 ||| the present invention provides a traffic load distribution methods , apparatus and communication system .
本 实用新型 减小 了 连接器 及其 线缆 的 插 损 , 可以 保证 射频 前端 器件 低 插 损 的 需求 。 ||| the present invention reduces the cable connector and the insertion loss of the rf front end device , it is possible to ensure low insertion loss requirements .
由于 根据 解锁 信息 修改 设置 项 。 ||| since the modified settings according to unlock the information item .
采用 本发明 公开 的 方法 和 设备 提高 了 内置 AP 的 数据 传输速率 。 ||| using the disclosed methods and apparatus to increase the data transmission rate of the built- in ap .
本发明 提供 了 一种 功率 余量 报告 触发 方法 及 装置 , 该 方法 包括 : 在 功率 余量 报告 定时器 超时 后 , 用户 设备 根据 用户 设备 功率 管理 影响 触发 用户 设备 上报 功率 余量 报告 ; 其中 , 用户 设备 功率 管理 影响 为 用户 设备 功率 管理所 造成 的 功率 变化 值 。 ||| the present invention provides a power margin report trigger method and apparatus , the method comprising : in a power margin report after the timer has timed out , the user device based on a user device power management effects triggering the user equipment sends power margin reports ; wherein the user equipment is user equipment power management effects caused by power managing power change value .
本发明 实施 例 提供 的 于 视频 的 增值 业务 实现 方法 、 服务器 和 系统 , 通过 产生 与 当前 播放 视频 的 关联 事件 数据 , 生成 与 播放 视频 密切 关联 的 增值 业务 内容 , 强化 了 增值 业务 与 视频 的 关联性 , 优化 了 增值 业务 与 视频 的 匹配 性 。 ||| an embodiment of the present invention provide a value added service implemented within a video server and a system , method , and the current play video by creating an event associated with playback of video data , resulting in a close correlation value added service content and enhance the value- added service with a video , the associations of the value- added service which is optimized with the video of the matching .
通过 本发明 实施 例 提供 的 方法 和 装置 , 用户 可以 将 作为 来电 铃声 或者 提示 铃声 的 音频文件 放在 一个 播放 目录 中 , 当 满足 铃声 播放 条件 时 , 将 随机 播放 该 播放 目录 中 的 音频文件 , 如此 免除 了 用户 反复 设置 来电 铃声 或者 提示 铃声 的 麻烦 。 ||| embodiments are also provided by the present invention is a method and apparatus for the incoming call , the user can be prompted ring or a ring tone as an audio file in the playlist directory on a ring tone , when playback condition is satisfied , the random playing audio files in this playlist , thus obviating the need for the user to repeatedly setting an incoming ring signal or to prompt the trouble of the ring tone .
所述 队列 管理 装置 包括 获取 模块 、 判断 模块 、 报文 发送 模块 和 报文 缓存 模块 。 ||| the queue management means includes an acquisition module , a decision module , the messaging module and a message caching module .
本发明 公开 一种 业务 通信 方法 、 装置 以及 系统 。 ||| the present invention discloses a service communication methods , apparatus , and system .
本发明 公开 了 一种 频偏 估计 方法 及 装置 , 该 方法 包括 : 获取 接收端 所有 天线 上 物理 资源 单元 内 的 导 频 子 载波 上 的 接收 信号 ; 使用 接收 信号 确定 所有 天线 上 物理 资源 单元 的 频偏 ; 按照 预定 算法 使用 物理 资源 单元 的 频偏 确定 接收 端的 频偏 。 ||| the present invention discloses a frequency offset estimation method and apparatus , the method comprising : obtaining a receive side physical over all antennas in the resource unit on the pilot subcarriers of a received signal ; determining that all antenna using the received signal at a frequency offset of the physical resource unit according to a predetermined algorithm , using a physical resource units to determine the frequency offset of the frequency deviation of the receiving end .
进而 减小 了 对 现有 网络 的 影响 。 ||| , in turn , reduces the effect of the existing network .
本发明 提供 了 一种 在 不同 制式 网络 间 进行 重选 的 方法 及 终端 。 ||| the present invention provides a different format in the method of performing reselection between the networks and terminal .
本发明 公开 了 一种 实现 社区 联合 的 方法 。 ||| the present invention discloses a method of implementing a community in combination .
本发明 公开 了 一种 适用 于 WiMAX 的 交织 或 解交织 的 实现 方法 。 ||| the present invention discloses a suitable for use in the wimax interleaving or deinterleaving of implementation of the method .
所述 方法 包括 : 基站 向 处于 连接 态 的 终端 发送 禁止 发起 业务 的 指示 信息 ; 所述 处于 连接 态 的 终端 根据 所述 禁止 发起 业务 的 指示 信息 , 执行 或 不 执行 业务 的 发起 操作 。 ||| said method comprising : a base station to a terminal is in a connected state of the originating service sends a disable the indication information is in a connected state , the terminal initiates a service according to the disabling of the indication information is performed or not performed , initiates operation of the service .
所述 背光 管理 模块 与 背光灯 连接 。 ||| the backlight management module connected to the backlight .
上述 技术 方案 可以 减少 才 彩信 容量 , 实现 大容量 彩信 发送 。 ||| the solutions described above can reduce capacity value is sent , to achieve high capacity value .
本发明 实施 例 提供 了 一种 信号 时序 的 测试方法 及 装置 , 涉及 测试 技术 领域 。 ||| embodiments of the present invention there is provided a timing signal , a test method and apparatus relating to the test field of technology .
应用 本发明 的 方法 在 新 安装 CNU 时 , 无需 知道 CNU 连接 在 哪 一个 CBAT 下 , 只 需要 在 认证 服务器 的 全局 白名单 中 增加 CNU 的 标识 信息 即可 。 ||| the application of the inventive method when the cnu newly installed , does not need to know in which one of the cnus cbat connected at the authentication server , but need only be increased in global white list of the identification information of the cnu . e. g .
本发明 提供 了 一种 用户 认证 授权 的 方法 及其 实现 系统 。 ||| the present invention provides a method for user authentication and authorization system is achieved .
本发明 能够 在 无线 接入网 中 同时 实现 第一 制式 的 通信 和 第二 制式 的 通信 。 ||| the present invention can be implemented in the radio access network while in a first format to a second format communication and communication .
